date,total_masks,total_dedicators
2020/04/27,1052494,120343
2020/04/28,1229570,141151
2020/04/29,704145,88738
2020/04/30,395369,52716
2020/05/01,222372,30791
2020/05/02,115935,15846
2020/05/03,68424,10502
2020/05/04,147615,26114
2020/05/05,113897,19818
2020/05/06,68775,12512
2020/05/07,66012,9208
2020/05/08,53805,7941
2020/05/09,56536,7754
2020/05/10,51613,7253
2020/05/11,51491,8909
2020/05/12,48245,8543
2020/05/13,43353,7828
2020/05/14,33670,6351
2020/05/15,29537,5627
2020/05/16,25501,4781
2020/05/17,22580,4667
2020/05/18,42044,9039
2020/05/19,30155,6485
2020/05/20,25461,5639
